ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF174K01Z14,KBST20NDPD,DP,OMF,7.5,14.67
INF174K01Y98,K20ND,DP,OMF,7.5,11.25
INF179K01LA9,HINSP,GR,OMF,7.5,661.45
INF179K01WN9,HINSPT,GR,OMF,7.5,676.21
INF179K01KZ8,HINNP,GR,OMF,7.5,205.44
INF179K01WM1,HINNPT,GR,OMF,7.5,209.64
INF903J01181,SBNPPEQU53,DP,OMF,7.5,60.55
INF903J01173,SBNPPEQU52,GR,OMF,8.5,1131.71
INF903J01MJ3,04PD,GR,OMF,7.5,1223.46
INF903J01MH7,05PD,DP,OMF,7.5,66.39
INF740K01656,DSPBRSTF,GR,OMF,7.5,42.44
INF740K01649,DSPBRSTDF,DP,OMF,7.5,12
INF740K01664,DSPBRSTMDF,DP,OMF,7.5,11.52
INF740K01NJ5,DSPSTDGR,GR,OMF,7.5,45.79
INF200K01198,MEF-DP,DP,OMF,7.5,66.1
INF200K01214,MEF-G,GR,OMF,7.5,211.35
INF200K01SE0,SBESGD007G,GR,OMF,7.5,229.9
INF760K01340,CRIFDPD,DP,OMF,7.5,14.67
INF760K01324,CRIFGPG,GR,OMF,7.5,50.87
INF760K01FI1,CRIFDG,GR,OMF,7.5,56.31
INF209K01LA4,B241D,DP,OMF,7.5,22.42
INF209K01LB2,B241G,GR,OMF,7.5,219.44
INF209K01VY3,B241GZ,GR,OMF,7.5,223.54
INF209K01VX5,B241DZ,DP,OMF,7.5,23.11
INF109K01JO1,IPRU1710P,DP,OMF,7.5,105.45
INF109K01738,IP1524,DR,OMF,7.5,105.74
INF109K01746,IP1525,GR,OMF,7.5,497.46
INF109K018Y9,IPRU8271P,DP,OMF,7.5,101.75
INF109K016Y3,IPRU8270P,DP,OMF,7.5,101.77
INF109K010Z3,IPRU8272P,DP,OMF,7.5,108.49
INF109K016Z0,IPRU2072P,DP,OMF,7.5,108.26
INF109K01P08,IPRU8087P,DP,OMF,7.5,105.5
INF109K01O66,IPRU8085,DR,OMF,7.5,105.74
INF109K01O82,IPRU8086,GR,OMF,7.5,503.61
INF109K01O90,IPRU8127P,DP,OMF,7.5,177.4
INF109K014Z5,IPRU2071P,DP,OMF,7.5,101.75
INF209K01355,BSL251D,DP,OMF,7.5,52.81
INF209K01363,BSL251G,GR,OMF,7.5,662.28
INF209K01Q22,B251DZ,DP,OMF,7.5,89.21
