444,HDFCNIF100,INF179KC1HR4,23.11,6.36
445,BSOFT,INE836A01035,604.3,20
446,AJANTPHARM,INE031B01049,2409.65,20
447,PVTBANIETF,INF109KC18U7,23.48,20
448,PYRAMID,INE0MIS01010,149.75,20
449,ALKALI,INE773I01017,112,20.59
450,GEPIL,INE878A01011,304.2,23.44
451,MANALIPETC,INE201A01024,72.6,20
452,ACI,INE128X01021,619.9,20
453,MARALOVER,INE882A01013,73.05,23.88
454,HONAUT,INE671A01010,43255.3,20
455,SIEMENS,INE003A01024,6130.2,20
456,PSUBANK,INF373I01023,703.92,20
457,BANKETFADD,INF740KA1RX3,47.82,20
458,HAL,INE066F01020,3846.65,20
459,MAZDOCK,INE249Z01012,2212.2,20.05
460,SILVERTUC,INE625X01018,752,20
461,HINDCOPPER,INE531E01026,357.55,21.01
462,TRIDENT,INE064C01022,37.65,20
463,SGBJUN29II,IN0020210061,7107.01,10
464,DAMODARIND,INE497D01022,49.85,21.64
465,SARLAPOLY,INE453D01025,73.7,21.76
466,AUBANK,INE949L01017,627.95,20
467,TIDEWATER,INE484C01030,1785.3,20
468,MOREPENLAB,INE083A01026,45.6,20
469,SDL24BEES,INF204KB18W4,121.08,20
470,SGBAUG24,IN0020160027,7156.51,10
471,KDDL,INE291D01011,2376.8,20
472,IIFLSEC,INE489L01022,133.8,21.91
473,SHYAMCENT,INE979R01011,18.2,100
474,SAH,INE035801013,93.45,20
475,CREST,INE559D01011,376.5,21.68
476,AAATECH,INE0D0U01013,114.15,100
477,UPL,INE628A01036,466.45,20
478,SGBJUL27,IN0020190081,7110,10
479,MARKSANS,INE750C01026,156.1,20
480,SAREGAMA,INE979A01025,429.4,20
481,LINC,INE802B01019,570.25,20
482,INDOBORAX,INE803D01021,168.45,20
483,AETHER,INE0BWX01014,824.1,20
484,DCAL,INE385W01011,197.5,21.22
485,SHOPERSTOP,INE498B01024,719.95,20
486,BANARISUG,INE459A01010,2504.6,20
487,HCC,INE549A01026,33.75,26.95
488,MAXIND,INE0CG601016,254.4,20
489,POLICYBZR,INE417T01026,1233.4,20
490,SILVRETF,INF769K01KG6,81.55,20
491,CENTURYPLY,INE348B01021,647.75,20
492,HDFCLIFE,INE795G01014,539.55,9.6
493,BAJAJELEC,INE193E01025,931.65,20
494,CLSEL,INE419D01026,222.1,20
495,NELCO,INE045B01015,724.9,20
496,RSYSTEMS,INE411H01032,409.55,20
497,ATULAUTO,INE951D01028,556.15,20.34
498,NETF,INF277K015R5,234.04,7.4
499,ECLERX,INE738I01010,2333.7,20
500,HIKAL,INE475B01022,286.6,20
501,NAUKRI,INE663F01024,5952.05,20
502,APARINDS,INE372A01015,7616.25,20
503,TRITURBINE,INE152M01016,550.7,20
504,SOUTHBANK,INE683A01023,27.15,20
505,ALPHA,INF174KA1IA5,47.12,20
506,HOMEFIRST,INE481N01025,849.15,20
507,PUNJABCHEM,INE277B01014,1031.95,20
508,HARDWYN,INE626Z01029,29.75,20.41
509,KRITI,INE479D01038,116.55,22.1
510,ALOKINDS,INE270A01029,25.75,22.99
511,SHARIABEES,INF732E01128,479.87,20
512,LTFOODS,INE818H01020,215.3,20
513,NINSYS,INE395U01014,429.65,20
514,NILKAMAL,INE310A01015,1869.5,20
515,EPACK,INE0G5901015,180.85,20
516,EVERESTIND,INE295A01018,1161.05,20
517,SAKUMA,INE190H01024,27.15,24.5
518,HDFCSENSEX,INF179KC1HX2,80.65,6
519,DENORA,INE244A01016,1493.6,24.61
520,BODALCHEM,INE338D01028,71.8,20
521,PEL,INE140A01024,815.8,20
522,ARROWGREEN,INE570D01018,492.85,24.61
523,GMMPFAUDLR,INE541A01023,1345.35,20
524,AEROFLEX,INE024001021,142.85,20
525,DBOL,INE0I3401014,121.65,20
526,NIFTYBETF,INF0QA701722,220.11,6
527,HDFCBSE500,INF179KC1EZ4,32.81,8.38
528,SUMICHEM,INE258G01013,386.25,20
529,APLAPOLLO,INE702C01027,1548.3,20
530,GOODLUCK,INE127I01024,863.35,20
531,PATINTLOG,INE529D01014,21.25,27.21
532,MAWANASUG,INE636A01039,91.3,20
533,LIBERTSHOE,INE557B01019,301.85,20.25
